Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OER","Employment Indicators: Rural","051","Armenia","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","631.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","62.09","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","374.11","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","146.99","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","48.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","78.53","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","46.97","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","86.56","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","85.18","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","051","Armenia","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","76.77","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OER","Employment Indicators: Rural","036","Australia","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","2127.48","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","298.17","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","1422.79","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","287.44","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","119.07","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","66.64","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","72.63","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","84.4","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","64.25","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","036","Australia","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","18.14","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","040","Austria","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","1718.61","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","202.13","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","1201.19","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","282.69","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","32.61","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","61.8","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","62.3","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","91.78","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","55.57","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","040","Austria","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","5.01","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","031","Azerbaijan","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","2454.45","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area and population size Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
