Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","2091.28","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","008","Albania","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","3784.64","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","012","Algeria","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","61707.76","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","024","Angola","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","21193.85","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","028","Antigua and Barbuda","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","366.71","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","76768.18","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","3874.46","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","036","Australia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","418378.79","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","040","Austria","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","164157.25","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","14870.76","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","2989.48","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","8901.6","A","Official figure","Budgetary Central Government Expenditure"
