Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","162.05","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","008","Albania","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","67.46","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","012","Algeria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","1971.41","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","024","Angola","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","256.88","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","028","Antigua and Barbuda","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","4.2","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","277.37","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","66.46","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","036","Australia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","2198.11","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","491.94","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","044","Bahamas","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","30.43","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","17.59","E","Estimated value","Budgetary Central Government Expenditure"
