Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","37769.499","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","19090.409","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","18679.089","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","27626.382","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","2873.883","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","1438.686","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","1435.198","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","1139.266","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","42705.368","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","21756.903","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","20948.465","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","11442.587","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","47.321","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","23.535","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","23.786","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","7.162","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","76.343","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","38.842","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","37.502","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","9.261","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","32353.588","X","Figure from international organizations",""
"OA","Annual population","024","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","15983.035","X","Figure from international organizations",""
"OA","Annual population","024","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","16370.553","X","Figure from international organizations",""
"OA","Annual population","024","Angola","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","10751.626","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","15.38","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","7.551","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","7.828","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","0","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","92.117","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","43.961","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","48.156","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","78.577","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","44745.52","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","22153.37","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","22592.15","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","3612.215","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","2820.602","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","1274.767","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","1545.834","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","1080.164","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","106.442","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","50.188","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","56.254","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","59.871","X","Figure from international organizations",""
"OA","Annual population","036","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","25357.17","X","Figure from international organizations",""
"OA","Annual population","036","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","12578.919","X","Figure from international organizations",""
"OA","Annual population","036","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","12778.251","X","Figure from international organizations",""
"OA","Annual population","036","Australia","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","3481.222","X","Figure from international organizations",""
"OA","Annual population","040","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","8879.94","X","Figure from international organizations",""
"OA","Annual population","040","Austria","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","4367.948","X","Figure from international organizations",""
"OA","Annual population","040","Austria","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","4511.992","X","Figure from international organizations",""
"OA","Annual population","040","Austria","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","3636.627","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","10232.753","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","5051.096","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","5181.658","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","4403.28","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","404.557","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","193.737","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","210.821","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","67.996","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","1494.188","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","933.409","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","560.779","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","173.716","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","165516.222","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","82164.179","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","83352.043","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 persons","105200.1","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 persons","280.18","X","Figure from international organizations",""
