Area,Area Code (M49),Area harvested (ha),Production (tonnes),Yield (hg/ha),Producer Price Index (2014-2016 = 100),Gross Production Index Number (2014-2016 = 100),Gross per capita Production Index Number (2014-2016 = 100),Export Quantity,Export Value,Gross Production Value (constant 2014-2016 thousand US$),Gross Production Value (current thousand US$),Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Country area,Cropland,"Agriculture, forestry, fishing (Central Government)",Country Group
Angola,24,945328.0,9000432.0,95210.0,117.8,115.95,100.79,428.63,400.0,1830679.0,,10751.626,32353.588,16370.553,15983.035,124670.0,5215.0,256.88,Africa
Antigua and Barbuda,28,13.0,68.03,51095.0,93.87,53.11,51.83,,,111.0,105.0,78.577,92.117,48.156,43.961,44.0,5.0,4.2,Americas
Argentina,32,19608.0,196336.41,100131.0,242.74,103.64,100.18,,,101685.0,,3612.215,44745.52,22592.15,22153.37,278040.0,33700.7597,277.37,Americas
Bahamas,44,35.0,840.22,238443.0,,99.67,96.7,,,,,67.996,404.557,210.821,193.737,1388.0,12.0,30.43,Americas
Barbados,52,25.0,485.5,197687.0,119.16,102.38,101.6,,,985.0,1174.0,197.584,280.18,145.957,134.222,43.0,8.0,30.05,Americas
Belize,84,45.0,725.0,161111.0,132.04,97.14,89.56,,,630.0,,211.248,389.095,193.151,195.944,2297.0,122.0,7.95,Americas
Benin,204,319299.0,4525450.0,141731.0,66.38,119.3,106.04,,,1664738.0,1049529.0,6153.211,12290.444,6138.319,6152.125,11476.0,3400.0,212.97,Africa
Bolivia (Plurinational State of),68,30112.0,203327.0,67524.0,98.78,91.17,85.74,,,45459.0,,3439.82,11777.315,5860.919,5916.395,109858.0,4787.0,94.07,Americas
Brazil,76,1194902.0,17593186.0,147235.0,166.46,78.37,75.9,,,1800077.0,2244751.0,27985.169,211782.878,107663.08,104119.798,851577.0,63518.0,4997.89,Americas
Brunei Darussalam,96,181.0,3150.98,174291.0,128.35,101.21,97.36,,,2739.0,3446.0,96.908,438.048,211.173,226.876,577.0,10.0,,Asia
Burkina Faso,854,1100.0,17000.0,154545.0,114.21,73.91,66.01,,,9508.0,,14229.173,20951.639,10520.378,10431.262,27422.0,6143.0,121.1,Africa
Burundi,108,296000.0,2408958.0,81384.0,86.05,97.73,88.15,,,715350.0,532533.0,10028.767,11874.838,5980.56,5894.278,2783.0,1550.0,25.61,Africa
Cabo Verde,132,265.0,2552.0,96302.0,109.29,41.1,39.28,,,6056.0,6276.0,189.426,577.03,290.056,286.974,403.0,54.0,15.0,Africa
Cambodia,116,284006.0,7500000.0,264079.0,99.04,100.0,95.11,,,1300912.0,,12558.947,16207.746,8186.482,8021.264,18104.0,4248.0,121.27,Asia
Cameroon,120,377758.0,4800000.0,127065.0,108.92,106.67,95.13,,,1277793.0,,10892.584,25782.341,12926.852,12855.489,47544.0,7750.0,209.93,Africa
Central African Republic,140,227756.0,774370.0,34000.0,98.48,108.99,101.27,,,415020.0,,2810.003,5209.324,2603.472,2605.852,62298.0,1880.0,27.18,Africa
Chad,148,36382.0,296976.0,81627.0,109.62,111.31,98.82,,,137714.0,,12132.857,16126.866,8032.044,8094.822,128400.0,5238.0,52.68,Africa
"China, Taiwan Province of",158,526.0,11085.0,210741.0,,64.93,64.18,,,,,5095.473,23777.737,11975.331,11802.406,3596.0,790.2,,Asia
"China, mainland",156,304652.0,4932202.08,161896.0,118.91,103.51,101.46,,,492868.0,,563652.725,1421864.031,695082.117,726781.914,956291.0,134881.0,7705.71,Asia
Colombia,170,94247.0,1026643.44,108932.0,272.45,46.12,43.33,,,293503.0,635179.0,9419.54,50187.406,25408.106,24779.301,114175.0,9872.0,622.65,Americas
Comoros,174,11487.0,65615.49,57123.0,,102.72,94.85,,,,,602.75,790.986,393.86,397.126,186.1,116.0,8.21,Africa
Congo,178,152091.0,1642482.44,107993.0,148.35,103.07,93.64,,,2281159.0,,1808.264,5570.733,2788.979,2781.753,34200.0,628.0,,Africa
Cook Islands,184,0.0,0.0,,89.23,,,,,,,4.318,17.11,8.902,8.208,24.0,1.5,,Oceania
Costa Rica,188,8715.0,99251.2,113884.0,172.07,64.24,61.8,,,23742.0,37498.0,996.082,5084.532,2538.156,2546.376,5110.0,575.5,216.32,Americas
Cuba,192,151670.0,919978.0,60657.0,102.1,130.37,130.63,,,,,2630.623,11316.697,5688.414,5628.282,10988.0,3561.6,3299.34,Americas
Côte d'Ivoire,384,922955.0,5877230.0,63678.0,130.2,127.08,114.73,,,1350252.0,,12449.33,26147.551,12929.424,13218.128,32246.0,8000.0,,Africa
Democratic Republic of the Congo,180,4918130.0,40050112.0,81434.0,,114.1,99.83,,,,,47659.965,89906.89,45306.478,44600.412,234486.0,15530.0,80.59,Africa
Dominica,212,156.0,1227.92,78867.0,,101.66,99.37,,,,,21.816,71.428,35.755,35.673,75.0,23.0,5.7,Americas
Dominican Republic,214,23200.0,175583.05,75682.0,124.53,104.25,99.65,,,60344.0,66104.0,1998.33,10881.882,5409.472,5472.41,4867.0,1232.0,410.87,Americas
Ecuador,218,13601.0,69863.16,51366.0,63.21,75.6,70.52,,,19380.0,12250.0,6158.51,17343.74,8670.974,8672.767,25637.0,2429.0,156.11,Americas
El Salvador,222,1368.0,21228.0,155175.0,120.69,60.94,60.44,,,5545.0,6692.0,1756.617,6280.217,3287.678,2992.539,2104.0,881.0,70.5,Americas
Equatorial Guinea,226,23941.0,73754.82,30807.0,94.13,101.34,87.84,,,,,372.296,1553.031,731.149,821.881,2805.0,185.98,23.1,Africa
Fiji,242,3041.0,76030.0,250000.0,72.82,105.59,105.42,,,39157.0,26395.0,397.364,918.465,457.099,461.366,1827.0,139.8,32.17,Oceania
French Polynesia,258,207.0,3833.87,185193.0,,97.5,94.9,,,,,109.928,299.717,147.819,151.899,347.1,27.5,,Oceania
Gabon,266,60037.0,314617.71,52404.0,,101.94,92.04,,,,,216.365,2242.785,1098.462,1144.323,26767.0,495.0,,Africa
Gambia,270,2949.0,11858.54,40210.0,95.74,99.51,89.28,,,7073.0,,848.212,2508.883,1261.541,1247.342,1130.0,445.0,3.99,Africa
Ghana,288,1052750.0,22429798.49,213059.0,63.06,127.42,116.67,,,4666741.0,1982223.0,13029.799,31522.29,15798.612,15723.678,23853.0,5221.0,129.22,Africa
Grenada,308,0.0,0.0,,99.94,,,,,,,69.217,122.724,61.24,61.483,34.0,7.0,3.44,Americas
Guatemala,320,3076.0,3152.0,10246.0,,67.99,63.63,,,,,8535.983,17106.338,8633.753,8472.585,10889.0,2045.0,149.87,Americas
Guinea,324,258492.0,2145484.0,83000.0,120.31,141.76,128.1,,,110552.0,,8507.787,12877.539,6527.547,6349.991,24586.0,3800.0,76.86,Africa
Guinea-Bissau,624,4631.0,52877.0,114181.0,129.22,113.14,102.62,,,56345.0,,1098.44,1970.457,998.712,971.745,3613.0,550.0,13.86,Africa
Guyana,328,1306.0,58893.0,451011.0,91.3,96.01,90.84,,,15423.0,13945.0,576.594,798.753,405.932,392.821,21497.0,460.0,81.56,Americas
Haiti,332,139536.0,623745.48,44701.0,,97.54,92.29,,,,,4925.256,11160.438,5625.31,5535.128,2775.0,1350.0,33.81,Americas
Honduras,340,3081.0,26058.56,84579.0,92.23,102.47,95.64,,,7251.0,,4044.696,9958.829,4927.035,5031.794,11249.0,1596.0,143.08,Americas
India,356,163000.0,4976000.0,305276.0,109.76,88.56,84.47,,,,,896909.218,1383112.05,668786.993,714325.057,328726.0,168669.0764,,Asia
Indonesia,360,710002.0,16350000.0,230281.0,109.93,74.89,71.92,,,3185915.0,3181458.0,118636.092,269582.878,133784.436,135798.442,191690.677,51300.0,6420.75,Asia
Jamaica,388,1271.0,26529.0,208725.0,113.77,136.84,135.91,,,10633.0,10602.0,1279.22,2813.773,1417.116,1396.657,1099.0,215.0,78.45,Americas
Kenya,404,59630.0,845342.0,141765.0,218.8,118.49,108.62,,,205823.0,422707.0,37851.953,50951.45,25679.257,25272.193,58037.0,6330.0,531.07,Africa
Lao People's Democratic Republic,418,71086.0,2345178.74,329905.0,123.22,109.55,103.31,358920.87,16235.0,357774.0,,4546.186,7212.053,3575.847,3636.206,23680.0,1429.7,20.51,Asia
Liberia,430,68667.0,581550.76,84692.0,,93.99,87.07,,,,,2408.447,4985.289,2505.847,2479.442,11137.0,700.0,5.38,Africa
Madagascar,450,369977.0,2913862.0,78758.0,118.99,106.14,95.68,,,339860.0,,16758.613,27533.134,13728.596,13804.538,58729.5,3600.0,97.04,Africa
Malawi,454,242454.0,5708032.0,235427.0,202.25,113.31,101.67,,,1979041.0,,16332.17,18867.337,9698.995,9168.342,11848.0,3800.0,204.05,Africa
